slug,title,date,category,summary,body_md
2026-05-live-info,第6回MAXバウトミドル級GP 16名発表＆抽選会 開催！,2026-05-29,ライブ情報,まによんPresents『アラカクライブNo.18』第6回MAXバウトミドル級GP16名発表＆抽選会を開催します。,"## 【告知‼️】

まによんPresents  
『アラカクライブNo.18  
【第6回MAXバウトミドル級GP16名発表＆抽選会】』

| | |
|---|---|
| **日程** | 7月28日（火） |
| **会場** | 新宿バティオス |
| **開場** | 18時45分 |
| **開演** | 19時15分 |
| **料金** | 前売り予約2000円／当日2500円 |

5月29日㈮18時予約受付開始！

[チケット予約はこちら](https://tiget.net/events/493980)"
2026-05-maxbout-schedule,今後のMAXバウト開催予定,2026-05-29,大会情報,2026年〜2028年のMAXバウト開催予定をお知らせします。,"- **2026年 夏**：第6回MAXバウトミドル級GP
- **2027年**：MAXバウトヘビー級GP（8人トーナメントの可能性）
- **2028年**：第8回MAXバウトライト級GP"
