event_id,name,promotion_id,event_number,event_type,event_date,published_at,summary,inferred_from,inferred_confidence
target-90,ターゲットNo.90,target,90,numbered_event,,,ターゲットNo.90。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-91,ターゲットNo.91,target,91,numbered_event,,,ターゲットNo.91。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-92,ターゲットNo.92,target,92,numbered_event,,,ターゲットNo.92。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-93,ターゲットNo.93,target,93,numbered_event,,,ターゲットNo.93。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-94,ターゲットNo.94,target,94,numbered_event,,,ターゲットNo.94。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-95,ターゲットNo.95,target,95,numbered_event,,,ターゲットNo.95。公式YouTube動画タイトルから抽出。,official_youtube_title,medium
target-96,ターゲットNo.96,target,96,numbered_event,,,ターゲットNo.96。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-97,ターゲットNo.97,target,97,numbered_event,,,ターゲットNo.97。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-98,ターゲットNo.98,target,98,numbered_event,,,ターゲットNo.98。公式YouTube動画タイトルから抽出。,official_youtube_title,high
target-99,ターゲットNo.99,target,99,numbered_event,,,ターゲットNo.99。公式YouTube動画タイトルから抽出。,official_youtube_title,high
video-catalog-54kwdqyjoa8,動画カタログ未分類イベント,video_catalog,,video_catalog,,,動画カタログ未分類イベント。公式YouTube動画タイトルから抽出。,official_youtube_title,low
video-catalog-f93bk3gibcq,動画カタログ未分類イベント,video_catalog,,video_catalog,,,動画カタログ未分類イベント。公式YouTube動画タイトルから抽出。,official_youtube_title,low
target-103,ターゲットNo.103,target,103,numbered_event,,2026-05-02,わくがつくりはらをKOしライト級王座3度目の防衛に成功した大会。,official_youtube_title,high
