video_id,url,title,line_number,line_type,line_text
IeYi3n8WWQs,https://www.youtube.com/watch?v=IeYi3n8WWQs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,36,matchup,🚨7月25日（木）アラカク試合観戦配信9の対戦カード&選手情報です❗️
IeYi3n8WWQs,https://www.youtube.com/watch?v=IeYi3n8WWQs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,39,event,⭐️マウンテン・ヒーローズNo.34
IeYi3n8WWQs,https://www.youtube.com/watch?v=IeYi3n8WWQs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,76,matchup,⭐️ターゲットNo.98対戦カード
IeYi3n8WWQs,https://www.youtube.com/watch?v=IeYi3n8WWQs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,83,event,🟦だいな24歳 177cm ターゲットPJ【4勝2敗】
IhTJfcxUZZ4,https://www.youtube.com/watch?v=IhTJfcxUZZ4,第７回MAXバウトライト級GP準決勝・決勝ダイジェスト,1,event,第７回MAXバウトライト級GP準決勝と決勝のダイジェストです❗️
IrT8IKCjj4I,https://www.youtube.com/watch?v=IrT8IKCjj4I,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Bブロック ダブド・ガブリシャンvsローリングJr.,1,event,第7回MAXバウトライト級GP二回戦Ｂブロック
IrT8IKCjj4I,https://www.youtube.com/watch?v=IrT8IKCjj4I,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Bブロック ダブド・ガブリシャンvsローリングJr.,5,result_or_title,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
IsftOwNYj1U,https://www.youtube.com/watch?v=IsftOwNYj1U,Full Fight！ルージュド・スターリーvsアマルド・ビュエーラ エンペラーNo.118 ミドル級ワンマッチ,1,matchup,🟣エンペラーNo.118 対戦カード
IsftOwNYj1U,https://www.youtube.com/watch?v=IsftOwNYj1U,Full Fight！ルージュド・スターリーvsアマルド・ビュエーラ エンペラーNo.118 ミドル級ワンマッチ,8,event,元ターゲットミドル級王者
JIjmEqcHrw4,https://www.youtube.com/watch?v=JIjmEqcHrw4,マウンテン・ヒーローズNo.29の見どころ！！【絶対概要欄見てね】,5,matchup,マウンテン・ヒーローズNo.29対戦カード
JbY8vkZYUys,https://www.youtube.com/watch?v=JbY8vkZYUys,【煽り】だいなvsつおし ターゲットNo.96 ライト級ワンマッチ,3,event,ターゲットNo.96
JbY8vkZYUys,https://www.youtube.com/watch?v=JbY8vkZYUys,【煽り】だいなvsつおし ターゲットNo.96 ライト級ワンマッチ,7,event,23歳 177cm ターゲットPJ
Jh3R2cQ39Gc,https://www.youtube.com/watch?v=Jh3R2cQ39Gc,Full Fight！センサー・ファッジvsハリス・オルビック　ターゲットNo.92 ライト級ワンマッチ,1,event,🔥ターゲットNo.92🔥
Jw_sbyayF0g,https://www.youtube.com/watch?v=Jw_sbyayF0g,Full Fight！テール・ジャンクvsクーラー・ジョイントン マウンテン・ヒーローズNo.34 ヘビー級ワンマッチ,1,event,マウンテン・ヒーローズNo.34
JzzLBF7ZqQU,https://www.youtube.com/watch?v=JzzLBF7ZqQU,マウンテン・ヒーローズNo.30の見どころ！！【概要欄を見ながらどうぞ】,1,matchup,マウンテン・ヒーローズNo.30対戦カード！
JzzLBF7ZqQU,https://www.youtube.com/watch?v=JzzLBF7ZqQU,マウンテン・ヒーローズNo.30の見どころ！！【概要欄を見ながらどうぞ】,43,youtube_url,https://youtu.be/_EaoVcuIsVg?si=qiHT3epSFuwJ-HZ0
JzzLBF7ZqQU,https://www.youtube.com/watch?v=JzzLBF7ZqQU,マウンテン・ヒーローズNo.30の見どころ！！【概要欄を見ながらどうぞ】,45,result_or_title,☆ライト級タイトルマッチ
K74fHO1C9oA,https://www.youtube.com/watch?v=K74fHO1C9oA,Full Fight！きたむらvsだいな ターゲットNo.94ライト級ワンマッチ,1,event,ターゲットNo.94
K74fHO1C9oA,https://www.youtube.com/watch?v=K74fHO1C9oA,Full Fight！きたむらvsだいな ターゲットNo.94ライト級ワンマッチ,9,event,23歳 177cm ターゲットPJ
Kb-ww6HuFQg,https://www.youtube.com/watch?v=Kb-ww6HuFQg,【かぜのvsこだま】Full Fight！ターゲットNo.102 ミドル級ワンマッチ,1,matchup,ターゲットNo.102対戦カード
Kb7j3t8T8Zs,https://www.youtube.com/watch?v=Kb7j3t8T8Zs,Full Fight！ロコール・アラニンvsチャールス・ブランディン エンペラーNo.111 ミドル級ワンマッチ,1,event,エンペラーNo.111
Kb7j3t8T8Zs,https://www.youtube.com/watch?v=Kb7j3t8T8Zs,Full Fight！ロコール・アラニンvsチャールス・ブランディン エンペラーNo.111 ミドル級ワンマッチ,3,event,☆エンペラーミドル級ワンマッチ
Kk2Aas86c94,https://www.youtube.com/watch?v=Kk2Aas86c94,Full Fight！コルト・アプローvsブルーワン エンペラーNo.113 ライト級ワンマッチ,1,event,エンペラーNo.113
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,10,youtube_url,https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,19,event,アラカクライブNo.13
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,20,youtube_url,https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,22,event,アラカクライブNo.14
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,23,youtube_url,https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,25,event,アラカクライブNo.15
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,26,youtube_url,https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl
Kw4Do4ouPKY,https://www.youtube.com/watch?v=Kw4Do4ouPKY,【森本カメラ】試合観戦側映像① 2025.7.26アラカク試合だけのライブNo.3,30,event,🟨エリートスピリッツミドル級GP 準決勝
LFwrWUKZCYw,https://www.youtube.com/watch?v=LFwrWUKZCYw,アラカク知ってる人にアラカクのこと話してみた【その③】,29,note_url,https://note.com/xyz1090
LFwrWUKZCYw,https://www.youtube.com/watch?v=LFwrWUKZCYw,アラカク知ってる人にアラカクのこと話してみた【その③】,39,youtube_url,https://youtu.be/IY1WaJ22vP0
LFwrWUKZCYw,https://www.youtube.com/watch?v=LFwrWUKZCYw,アラカク知ってる人にアラカクのこと話してみた【その③】,41,youtube_url,https://youtu.be/RSdWBnQvynU
LJ_Cbs1xmiQ,https://www.youtube.com/watch?v=LJ_Cbs1xmiQ,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,1,event,第5回MAXバウトミドル級ＧＰ
LJ_Cbs1xmiQ,https://www.youtube.com/watch?v=LJ_Cbs1xmiQ,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,9,event,⑥【19勝13敗】⑦ターゲット ⑧4回目
LJ_Cbs1xmiQ,https://www.youtube.com/watch?v=LJ_Cbs1xmiQ,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,10,event,⑨第3回MAXバウトミドル級ＧＰ準優勝
LJ_Cbs1xmiQ,https://www.youtube.com/watch?v=LJ_Cbs1xmiQ,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,18,event,第4回MAXバウトミドル級ＧＰ準優勝
LJ_Cbs1xmiQ,https://www.youtube.com/watch?v=LJ_Cbs1xmiQ,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,25,result_or_title,⑨タイトル⑩戦いたい相手
LK45sJahdK0,https://www.youtube.com/watch?v=LK45sJahdK0,Full Fight！第7回 MAXバウトライト級GP決勝　ランダーデビルvsブルーワン,1,event,第７回MAXバウトライト級GP決勝
LK45sJahdK0,https://www.youtube.com/watch?v=LK45sJahdK0,Full Fight！第7回 MAXバウトライト級GP決勝　ランダーデビルvsブルーワン,5,result_or_title,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
LK45sJahdK0,https://www.youtube.com/watch?v=LK45sJahdK0,Full Fight！第7回 MAXバウトライト級GP決勝　ランダーデビルvsブルーワン,13,event,第5回 MAXバウトライト級トーナメント優勝
LK45sJahdK0,https://www.youtube.com/watch?v=LK45sJahdK0,Full Fight！第7回 MAXバウトライト級GP決勝　ランダーデビルvsブルーワン,19,event,⑥【19勝5敗】⑦エンペラー⑧5回目
LK45sJahdK0,https://www.youtube.com/watch?v=LK45sJahdK0,Full Fight！第7回 MAXバウトライト級GP決勝　ランダーデビルvsブルーワン,20,event,⑨現エンペラーライト級王者
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,1,event,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック第二試合
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,8,result_or_title,⑨タイトル
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,10,event,第６回 MAXバウトライト級トーナメント一回戦
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,20,event,⑥【4勝0敗】⑦エンペラー ⑧1回目
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,21,event,⑨現エンペラーライト級王者
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,32,note_url,https://note.com/xyz1090
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,42,youtube_url,https://youtu.be/IY1WaJ22vP0
LrsEZU2MKWI,https://www.youtube.com/watch?v=LrsEZU2MKWI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,44,youtube_url,https://youtu.be/RSdWBnQvynU
M3uPKocZYO4,https://www.youtube.com/watch?v=M3uPKocZYO4,Full Fight！ワインセルvsセンサー・ファッジ　No.95 ライト級ワンマッチ,1,event,ターゲットNo.95
MTWFJz88t8Q,https://www.youtube.com/watch?v=MTWFJz88t8Q,Full Fight！【煽り付き】エリートスピリッツミドル級GP準決勝Aブロック　オーロラデビルvsぱいそんはやし,1,event,🟨エリートスピリッツミドル級GP 準決勝
MZsxwh-pvtQ,https://www.youtube.com/watch?v=MZsxwh-pvtQ,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Aブロック イスカン・アステvsマルコ・フレイザー,1,event,第7回MAXバウトライト級GP二回戦Aブロック
MZsxwh-pvtQ,https://www.youtube.com/watch?v=MZsxwh-pvtQ,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Aブロック イスカン・アステvsマルコ・フレイザー,5,result_or_title,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
