video_id,url,title,line_number,line_type,line_text
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,97,event,アラカクライブNo.13
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,98,youtube_url,https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,100,event,アラカクライブNo.14
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,101,youtube_url,https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,103,event,アラカクライブNo.15
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,104,youtube_url,https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl
OYnlVWUDsPU,https://www.youtube.com/watch?v=OYnlVWUDsPU,Full Fight！第６回 MAXバウトライト級トーナメント２回戦 第一試合　マルコ・フレイザーvsランダーデビル,1,event,Full Fight！第６回 MAXバウトライト級トーナメント２回戦第一試合
OYnlVWUDsPU,https://www.youtube.com/watch?v=OYnlVWUDsPU,Full Fight！第６回 MAXバウトライト級トーナメント２回戦 第一試合　マルコ・フレイザーvsランダーデビル,7,result_or_title,⑨タイトル
OYnlVWUDsPU,https://www.youtube.com/watch?v=OYnlVWUDsPU,Full Fight！第６回 MAXバウトライト級トーナメント２回戦 第一試合　マルコ・フレイザーvsランダーデビル,12,event,⑥【5勝0敗】⑦エンペラー ⑧1回目
OYnlVWUDsPU,https://www.youtube.com/watch?v=OYnlVWUDsPU,Full Fight！第６回 MAXバウトライト級トーナメント２回戦 第一試合　マルコ・フレイザーvsランダーデビル,13,event,⑨現エンペラーライト級王者
