article_id,article_title,url,line_number,line_type,line_text
note-n6bea445ebaef,第7回MAXバウトライト級GP決勝　対戦カード,https://note.com/xyz1090/n/n6bea445ebaef,4,matchup,第7回MAXバウトライト級GP決勝 対戦カード｜アラカク通信のーと
note-n6bea445ebaef,第7回MAXバウトライト級GP決勝　対戦カード,https://note.com/xyz1090/n/n6bea445ebaef,31,matchup,第7回MAXバウトライト級GP決勝 対戦カード
note-n584a22756e35,第7回MAXバウトライト級GP準決勝 対戦カード,https://note.com/xyz1090/n/n584a22756e35,4,matchup,第7回MAXバウトライト級GP準決勝 対戦カード｜アラカク通信のーと
note-n584a22756e35,第7回MAXバウトライト級GP準決勝 対戦カード,https://note.com/xyz1090/n/n584a22756e35,31,matchup,第7回MAXバウトライト級GP準決勝 対戦カード
note-n584a22756e35,第7回MAXバウトライト級GP準決勝 対戦カード,https://note.com/xyz1090/n/n584a22756e35,46,matchup,第7回MAXバウトライト級GP準決勝対戦カード
note-n584a22756e35,第7回MAXバウトライト級GP準決勝 対戦カード,https://note.com/xyz1090/n/n584a22756e35,50,result,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
note-n168697057b95,MAXバウトスペシャルワンマッチ大会試合結果,https://note.com/xyz1090/n/n168697057b95,51,result_with_time,（3R終了 判定3-0）
note-n168697057b95,MAXバウトスペシャルワンマッチ大会試合結果,https://note.com/xyz1090/n/n168697057b95,56,result_with_time,（3R終了 判定3-0）
note-n168697057b95,MAXバウトスペシャルワンマッチ大会試合結果,https://note.com/xyz1090/n/n168697057b95,66,result_with_time,（3R3分05秒 RNC）
note-n72c0ef38b7dc,第７回MAXバウトライト級GP二回戦試合結果（Ｂブロック）,https://note.com/xyz1090/n/n72c0ef38b7dc,51,result_with_time,（1R2分42秒KO ハイキック→パンチ）
note-n72c0ef38b7dc,第７回MAXバウトライト級GP二回戦試合結果（Ｂブロック）,https://note.com/xyz1090/n/n72c0ef38b7dc,56,result_with_time,（1R3分29秒KO パウンド連打）
note-n6f1a34980c04,第７回MAXバウトライト級GP二回戦試合結果（Aブロック）,https://note.com/xyz1090/n/n6f1a34980c04,56,result_with_time,（2R2分43秒KO ボディへの膝蹴り）
note-n7e05e265c43b,MAXバウトスペシャルワンマッチ大会,https://note.com/xyz1090/n/n7e05e265c43b,51,result,⑧タイトル
note-nac5b58ff480e,第7回MAXバウトライト級GP二回戦Ｂブロック対戦カード,https://note.com/xyz1090/n/nac5b58ff480e,4,matchup,第7回MAXバウトライト級GP二回戦Ｂブロック対戦カード｜アラカク通信のーと
note-nac5b58ff480e,第7回MAXバウトライト級GP二回戦Ｂブロック対戦カード,https://note.com/xyz1090/n/nac5b58ff480e,31,matchup,第7回MAXバウトライト級GP二回戦Ｂブロック対戦カード
note-nac5b58ff480e,第7回MAXバウトライト級GP二回戦Ｂブロック対戦カード,https://note.com/xyz1090/n/nac5b58ff480e,50,result,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
note-ne16015350a06,第7回MAXバウトライト級GP二回戦Aブロック対戦カード,https://note.com/xyz1090/n/ne16015350a06,4,matchup,第7回MAXバウトライト級GP二回戦Aブロック対戦カード｜アラカク通信のーと
