display_id,webpage_url,fulltitle,uploader,upload_date,duration_string,view_count,like_count,description,archived_at
13OB38c7T_8,https://www.youtube.com/watch?v=13OB38c7T_8,Full Fight！ワインセルvsきょうない ターゲットNo.98 ライト級ワンマッチ,アラカク通信,20240731,11:33,63,,"ターゲットNo.98

☆ライト級ワンマッチ
🟥ワインセル
32歳 165cm ワインセルジム
【9勝7敗】
🆚
🟦きょうない26歳 167cm せみおかトレーニング【2勝2敗】


#格闘技
#MMA
#架空
#クロコップ
#アラカク
#あらかく",2026-05-28T20:11:42
14fZPAh41t0,https://www.youtube.com/watch?v=14fZPAh41t0,Full Fight！ワインセルvsイベルト・キューミ ターゲットNo.93 ライト級ワンマッチ,アラカク通信,20231201,11:13,21,,"ターゲットNo.93

☆ライト級ワンマッチ
🟥ワインセル31歳 165cm ワインセルジム【7勝7敗】
🆚
🟦イベルト・キューミ30歳 180cm チームカーリン【2勝2敗】


#アラカク 
#あらかく 
#格闘技 
#架空 
#クロコップ",2026-05-28T20:11:42
1Ap2I0Us_bU,https://www.youtube.com/watch?v=1Ap2I0Us_bU,Full Fight！パット・バミューダvsナパーム エンペラーNo.113 ライト級ワンマッチ,アラカク通信,20230612,9:55,102,,"エンペラーNo.113

☆ライト級ワンマッチ
🟥ナパーム
38歳 167cm チームナパーム
【14勝11敗】
🆚
🟦パット・バミューダ
33歳 173cm バルカンジム
【0勝1敗】エンペラー初参戦


#アラカク
 #ARAKAKU 
#格闘技 
#架空 
#クロコップ",2026-05-28T20:11:42
1GjvqNJwjo4,https://www.youtube.com/watch?v=1GjvqNJwjo4,Full Fight！【煽り付き】エリートスピリッツミドル級GP準決勝Ｂブロック　エス・ガリオンvsジャニマード・トスパチ,アラカク通信,20250805,10:03,155,1,"🟨エリートスピリッツミドル級GP 準決勝


【Bブロック】
🟥エス・ガリオン
22歳 191cm チームセイバー
【4勝0敗】ネオマーキーズ
🆚
🟦ジャニマード・トスパチ
28歳 190cm チームボークン
【8勝1敗】アルバトロス



#アラカク
#あらかく
#格闘技
#架空
#クロコップ
#mma",2026-05-28T20:11:42
1PtBS6rOpuQ,https://www.youtube.com/watch?v=1PtBS6rOpuQ,【煽りＶのみ】かべいvsギタミン・アーロン ターゲットNo.100 ミドル級タイトルマッチ,アラカク通信,20250628,2:16,62,2,"【告知】
2025年07月26日(土)
アラカク説明なし試合だけのライブNo.3
ご予約🎫⬇️ 
tiget.net/events/408059


☆アラカクなに？って方へ！
これが一番わかりやすいです⬇️
バキ童チャンネル（アラカクの説明）
https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0
＊アラカクのチャンネル【アラカク通信】はバキ童チャンネル見た後の方がおすすめです🙇‍♂️



ターゲットNo.100
☆ターゲットミドル級タイトルマッチ
🟥かべい29歳 188cm チームジャパン　
【12勝4敗】
現ターゲットミドル級王者
🆚
🟦ギタミン・アーロン
36歳 185cm VKデリンジャー
【12勝4敗】
MAXバウトヘビー級王者


#アラカク
#あらかく
#格闘技
#架空
#クロコップ
#mma",2026-05-28T20:11:42
1XiijiZqf6k,https://www.youtube.com/watch?v=1XiijiZqf6k,Full Fight！さくらいvsステシエン・チェット エンペラーNo.115 ライト級ワンマッチ,アラカク通信,20240330,5:03,34,,"エンペラーNo.115

☆ライト級ワンマッチ
🟥 さくらい
36歳 180cm VKデリンジャー
【9勝8敗】
🆚
🟦ステシエン・チェット
23歳 175cm カイザーアスリート
【2勝0敗】


#アラカク 
#あらかく
#格闘技
 #架空 
#クロコップ
#mma",2026-05-28T20:11:42
1tjFo_lN-ZY,https://www.youtube.com/watch?v=1tjFo_lN-ZY,Full Fight！シャパール・アミアvsロコール・アラニン エンペラーNo.110 ミドル級ワンマッチ,アラカク通信,20220425,5:33,27,1,"エンペラーNo.110第五試合

【エンペラー公式ルール】
5分3R 肘あり 
サッカーボールキック、踏みつけ、3点ポジションでの足での攻撃（手と足が地についてる状態）


☆ミドル級ワンマッチ
ロコール・アラニン
34歳 183cm チームストライン
【0勝1敗】
🆚
シャパール・アミア
25歳 188cm チーム・ボークン
【メジャー初参戦】



【荒木の架空の格闘技=ARAKAKU】

ARAKAKUが始まります。

ARAKAKUとは何かをこのYouTubeチャンネルで知ってもらえたら嬉しいです🥊

ARAKAKU note
https://note.com/xyz1090

ARAKAKU Twitter
https://mobile.twitter.com/ARAKAKU1



ケイダッシュステージ所属の芸人でもあります。
【クロコップ】
にんじゃりばんばん⬇️
https://youtu.be/IY1WaJ22vP0
空手家の子⬇️
https://youtu.be/RSdWBnQvynU

クロコップ荒木Twitter
https://mobile.twitter.com/@crocoparaki

#ARAKAKU
#アラカク
#エンペラー",2026-05-28T20:11:42
23ui9dCnMlE,https://www.youtube.com/watch?v=23ui9dCnMlE,Full Fight！第7回 MAXバウトライト級トーナメント一回戦Aブロック くわしおvsブルーワン,アラカク通信,20240930,5:49,111,1,"第7回MAXバウトライト級GP一回戦Aブロック

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手


☆Aブロック第二試合☆
🟥①くわしお
②帰ってきたカリスマ貴公子
③31歳④172cm⑤カイザーアスリート
⑥【11勝6敗】⑦M・H⑧2回目
⑨なし
⑩ワインセル
🆚
🟦①ブルーワン
②皇帝ビッグウェーブ
③28歳④178cm⑤エキサイトクラス
⑥【16勝5敗】⑦エンペラー⑧5回目
⑨現エンペラーライト級王者
⑩イスカン・アステ


#アラカク 
#あらかく
#格闘技
#架空 
#クロコップ
#mma",2026-05-28T20:11:42
2CpXEYXDlP8,https://www.youtube.com/watch?v=2CpXEYXDlP8,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第一試合］コルト・アプローvsブルーワン【概要欄見て】,アラカク通信,20250117,7:23,73,3,"【ライブ告知】
まによんpresents
『アラカク試合だけのライブNo.2【第7回MAXバウトライト級GP二回戦】』
【日程】2025年1月31日（金）
【会場】新宿ハイジアV1
【開場】19時15分
【開演】19時30分
【最大延長】21時30分
【料金】前売り予約1500円／当日2000円

⚠️アラカクの説明はありません❗️
こちら見てきたらわかりやすいです👀
⬇️
https://youtu.be/yN9h0C5MDHM?si=PxsK3O8R8pYMOshg

ご予約⬇️
https://t.co/6qbZtl1kDF

【第7回MAXバウトライト級GP二回戦Aブロック】🚨①名前②キャッチコピー③年齢④身長⑤所属ジム⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手

☆Ｂブロック第一試合
🟥①コルト・アプロー
②連覇を狙うホワイトバイパー
③39歳④175cm⑤マジシャンズ
⑥【21勝12敗】⑦エンペラー⑧5回目
⑨元エンペラーライト級王者
第6回 MAXバウトライト級トーナメント優勝
⑩ランダーデビル
🆚
🟦①ブルーワン
②皇帝ビッグウェーブ
③28歳④178cm⑤エキサイトクラス
⑥【17勝5敗】⑦エンペラー⑧5回目
⑨現エンペラーライト級王者
⑩イスカン・アステ



#アラカク 
#あらかく
#格闘技 
#架空
 #クロコップ
#MMA",2026-05-28T20:11:42
2Mm9-KcrsfU,https://www.youtube.com/watch?v=2Mm9-KcrsfU,【煽りのみ】きんときvsおとさわ　ターゲットNo.90 ミドル級ワンマッチ,アラカク通信,20220711,1:50,27,3,"ターゲットNo.90

☆ターゲットミドル級ワンマッチ
おとさわ
31歳 183cm ゴッサブジャパン
【18勝13敗】
🆚
きんとき
32歳 190cm ターゲットプロジェクトチーム
【8勝8敗】",2026-05-28T20:11:42
